listener,date,sTime,tracking,trial,targets,SNR,adj_SNR,OutLevelChange,manipulation,lateralized,ITD,masker,wave,V,C,response,correct,rTime,rev
L01,03-Jul-2017,16:37:38,50,1,VCV_KM&TG,-10.0,-11.6, +0.0,none,noise, +0.0,SpNz44100,UP_U04_TG,U,P,B,0,16:37:46
L01,03-Jul-2017,16:37:38,50,2,VCV_KM&TG, +0.0, +2.5, +0.0,none,noise, +0.0,SpNz44100,UG_U01_KM,U,G,K,0,16:37:52
L01,03-Jul-2017,16:37:38,50,3,VCV_KM&TG,+10.0, +6.3, +0.0,none,noise, +0.0,SpNz44100,AV_A01_KM,A,V,V,1,16:37:55
L01,03-Jul-2017,16:37:38,50,4,VCV_KM&TG, +0.0, -0.3, +0.0,none,noise, +0.0,SpNz44100,IG_I02_KM,I,G,K,0,16:38:00
L01,03-Jul-2017,16:37:38,50,5,VCV_KM&TG, +6.0, +6.3, +0.0,none,noise, +0.0,SpNz44100,AB_A01_KM,A,B,B,1,16:38:03,*
L01,03-Jul-2017,16:37:38,50,6,VCV_KM&TG, +4.0,+10.9, +0.0,none,noise, +0.0,SpNz44100,UN_U02_TG,U,N,N,1,16:38:07
L01,03-Jul-2017,16:37:38,50,7,VCV_KM&TG, +2.0, +4.9, +0.0,none,noise, +0.0,SpNz44100,IV_I03_KM,I,V,V,1,16:38:12
L01,03-Jul-2017,16:37:38,50,8,VCV_KM&TG, +0.0, -8.3, +0.0,none,noise, +0.0,SpNz44100,ID_I01_KM,I,D,F,0,16:38:19,*
L01,03-Jul-2017,16:37:38,50,9,VCV_KM&TG, +2.0, +2.3, +0.0,none,noise, +0.0,SpNz44100,AD_A01_TG,A,D,D,1,16:38:23,*
L01,03-Jul-2017,16:37:38,50,10,VCV_KM&TG, +0.0, -2.9, +0.0,none,noise, +0.0,SpNz44100,AL_A01_KM,A,L,L,1,16:38:26
L01,03-Jul-2017,16:37:38,50,11,VCV_KM&TG, -2.0, -4.4, +0.0,none,noise, +0.0,SpNz44100,AF_A01_KM,A,F,V,0,16:38:29,*
L01,03-Jul-2017,16:37:38,50,12,VCV_KM&TG, +0.0, -0.8, +0.0,none,noise, +0.0,SpNz44100,AY_A02_TG,A,Y,Y,1,16:38:33,*
L01,03-Jul-2017,16:37:38,50,13,VCV_KM&TG, -2.0, -6.5, +0.0,none,noise, +0.0,SpNz44100,IZ_I03_TG,I,Z,Z,1,16:38:36
L01,03-Jul-2017,16:37:38,50,14,VCV_KM&TG, -4.0, -4.3, +0.0,none,noise, +0.0,SpNz44100,IV_I02_TG,I,V,B,0,16:38:40,*
L01,03-Jul-2017,16:37:38,50,15,VCV_KM&TG, -2.0, -2.3, +0.0,none,noise, +0.0,SpNz44100,IM_I04_KM,I,M,M,1,16:38:43,*
L01,03-Jul-2017,16:37:38,50,16,VCV_KM&TG, -4.0, -0.4, +0.0,none,noise, +0.0,SpNz44100,AV_A03_TG,A,V,K,0,16:38:47,*
