listener,date,sTime,tracking,trial,targets,SNR,adj_SNR,OutLevelChange,masker,wave,V,C,response,correct,rTime,rev
SR,01-Apr-2017,18:18:16,50,1,VCV_KM&TG, +6.0, +5.0, +0.0,SpNz44100,AG_A03_TG,A,G,G,1,18:18:22
SR,01-Apr-2017,18:18:16,50,2,VCV_KM&TG, -4.0, -3.9, +0.0,SpNz44100,IM_I04_TG,I,M,W,0,18:18:26
SR,01-Apr-2017,18:18:16,50,3,VCV_KM&TG, +6.0, +1.0, +0.0,SpNz44100,AD_A03_KM,A,D,D,1,18:18:29
SR,01-Apr-2017,18:18:16,50,4,VCV_KM&TG, +0.0, +2.9, +0.0,SpNz44100,IV_I02_KM,I,V,L,0,18:18:33,*
SR,01-Apr-2017,18:18:16,50,5,VCV_KM&TG, +2.0, +6.0, +0.0,SpNz44100,UB_U01_KM,U,B,B,1,18:18:36,*
SR,01-Apr-2017,18:18:16,50,6,VCV_KM&TG, +0.0, +4.0, +0.0,SpNz44100,IN_I02_TG,I,N,N,1,18:18:40
SR,01-Apr-2017,18:18:16,50,7,VCV_KM&TG, -2.0, -6.0, +0.0,SpNz44100,AV_A04_KM,A,V,L,0,18:18:44,*
SR,01-Apr-2017,18:18:16,50,8,VCV_KM&TG, +0.0, -0.4, +0.0,SpNz44100,AW_A02_KM,A,W,W,1,18:18:47,*
SR,01-Apr-2017,18:18:16,50,9,VCV_KM&TG, -2.0, -7.0, +0.0,SpNz44100,AG_A02_KM,A,G,G,1,18:18:51
SR,01-Apr-2017,18:18:16,50,10,VCV_KM&TG, -4.0,-10.6, +0.0,SpNz44100,IZ_I01_KM,I,Z,V,0,18:18:54,*
SR,01-Apr-2017,18:18:16,50,11,VCV_KM&TG, -2.0, -1.8, +0.0,SpNz44100,IG_I02_TG,I,G,P,0,18:18:58
SR,01-Apr-2017,18:18:16,50,12,VCV_KM&TG, +0.0, -3.1, +0.0,SpNz44100,IK_I01_TG,I,K,D,0,18:19:03
SR,01-Apr-2017,18:18:16,50,13,VCV_KM&TG, +2.0, +4.4, +0.0,SpNz44100,UL_U04_TG,U,L,B,0,18:19:06
SR,01-Apr-2017,18:18:16,50,14,VCV_KM&TG, +4.0, +4.5, +0.0,SpNz44100,AZ_A04_KM,A,Z,Z,1,18:19:11,*
SR,01-Apr-2017,18:18:16,50,15,VCV_KM&TG, +2.0, -1.5, +0.0,SpNz44100,AM_A04_KM,A,M,M,1,18:19:14
SR,01-Apr-2017,18:18:16,50,16,VCV_KM&TG, +0.0, +0.6, +0.0,SpNz44100,IP_I04_TG,I,P,P,1,18:19:19
SR,01-Apr-2017,18:18:16,50,17,VCV_KM&TG, -2.0, -2.5, +0.0,SpNz44100,AP_A01_TG,A,P,P,1,18:19:23
SR,01-Apr-2017,18:18:16,50,18,VCV_KM&TG, -4.0, +1.7, +0.0,SpNz44100,UL_U03_KM,U,L,Y,0,18:19:27,*
SR,01-Apr-2017,18:18:16,50,19,VCV_KM&TG, -2.0, -4.0, +0.0,SpNz44100,AW_A02_TG,A,W,W,1,18:19:30,*
