listener,date,sTime,tracking,trial,targets,SNR,adj_SNR,OutLevelChange,masker,wave,V,C,response,correct,rTime,rev
SR,01-Apr-2017,18:24:08,50,1,VCV_KM&TG, +6.0, +2.8, +0.0,SpNz44100,AL_A02_KM,A,L,L,1,18:24:13
SR,01-Apr-2017,18:24:08,50,2,VCV_KM&TG, -4.0, -2.2, +0.0,SpNz44100,AN_A04_KM,A,N,M,0,18:24:16
SR,01-Apr-2017,18:24:08,50,3,VCV_KM&TG, +6.0,+10.0, +0.0,SpNz44100,UB_U03_KM,U,B,B,1,18:24:19
SR,01-Apr-2017,18:24:08,50,4,VCV_KM&TG, +0.0, -6.0, +0.0,SpNz44100,IK_I01_KM,I,K,P,0,18:24:24,*
SR,01-Apr-2017,18:24:08,50,5,VCV_KM&TG, +2.0, +2.1, +0.0,SpNz44100,AB_A04_KM,A,B,B,1,18:24:27,*
SR,01-Apr-2017,18:24:08,50,6,VCV_KM&TG, +0.0, +2.9, +0.0,SpNz44100,UY_U04_TG,U,Y,Y,1,18:24:31
SR,01-Apr-2017,18:24:08,50,7,VCV_KM&TG, -2.0, -5.1, +0.0,SpNz44100,IK_I04_TG,I,K,P,0,18:24:34,*
SR,01-Apr-2017,18:24:08,50,8,VCV_KM&TG, +0.0, -2.3, +0.0,SpNz44100,AF_A02_KM,A,F,V,0,18:24:37
SR,01-Apr-2017,18:24:08,50,9,VCV_KM&TG, +2.0, +1.0, +0.0,SpNz44100,AG_A03_TG,A,G,G,1,18:24:41,*
SR,01-Apr-2017,18:24:08,50,10,VCV_KM&TG, +0.0, +3.5, +0.0,SpNz44100,IB_I03_TG,I,B,B,1,18:24:45
SR,01-Apr-2017,18:24:08,50,11,VCV_KM&TG, -2.0, -7.0, +0.0,SpNz44100,AD_A03_KM,A,D,D,1,18:24:48
SR,01-Apr-2017,18:24:08,50,12,VCV_KM&TG, -4.0, +0.0, +0.0,SpNz44100,UM_U03_TG,U,M,M,1,18:24:52
SR,01-Apr-2017,18:24:08,50,13,VCV_KM&TG, -6.0, -3.2, +0.0,SpNz44100,UZ_U01_TG,U,Z,V,0,18:24:55,*
SR,01-Apr-2017,18:24:08,50,14,VCV_KM&TG, -4.0, -4.0, +0.0,SpNz44100,IM_I02_KM,I,M,W,0,18:24:59
SR,01-Apr-2017,18:24:08,50,15,VCV_KM&TG, -2.0, -4.3, +0.0,SpNz44100,UF_U01_TG,U,F,B,0,18:25:02
SR,01-Apr-2017,18:24:08,50,16,VCV_KM&TG, +0.0, -1.0, +0.0,SpNz44100,AY_A01_TG,A,Y,Y,1,18:25:06,*
SR,01-Apr-2017,18:24:08,50,17,VCV_KM&TG, -2.0, -2.5, +0.0,SpNz44100,UV_U02_KM,U,V,B,0,18:25:09,*
SR,01-Apr-2017,18:24:08,50,18,VCV_KM&TG, +0.0, +3.5, +0.0,SpNz44100,UK_U03_KM,U,K,P,0,18:25:13
SR,01-Apr-2017,18:24:08,50,19,VCV_KM&TG, +2.0, +1.5, +0.0,SpNz44100,AP_A01_TG,A,P,P,1,18:25:16,*
